candidate_id,accreditation_id,university,program_name,degree,specialty,stage_id,completed,dual_guess,accreditation_decision,naqa_decision,possible_solution,has_es_summary,has_ger,has_naqa_decision,se_status,error
12171,14010,Житомирський державний університет імені Івана Франка,Англійська та французька мови й зарубіжна література в закладах освіти,MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12170,14011,Житомирський державний університет імені Івана Франка,Англійська та німецька мови й зарубіжна література в закладах освіти,MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12110,13946,"Національний університет ""Чернігівський колегіум"" імені Т.Г. Шевченка",Середня освіта (Українська мова і література. Англійська мова),MA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12109,14175,Київський національний лінгвістичний університет,"Українська мова і література, англійська мова",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12084,13934,Харківський національний університет імені В.Н. Каразіна,Математика та інформатика,MA,014,2700,True,False,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12017,13699,Кам'янець-Подільський національний університет імені Івана Огієнка,"Середня освіта (Математика, інформатика)",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12010,13842,Центральноукраїнський державний університет імені Володимира Винниченка,"Середня освіта (Хімія, Біологія та здоров’я людини)",MA,014,2700,True,False,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
11980,13755,Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Середня освіта (Біологія та здоров'я людини. Географія),MA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
11955,14047,Глухівський національний педагогічний університет імені Олександра Довженка,Середня освіта (Фізика та інформатика),MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
11886,13733,Київський національний лінгвістичний університет,"Іспанська мова і друга західноєвропейська мова, зарубіжна література, методика навчання іноземних мов",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
11882,13730,Київський національний лінгвістичний університет,"Французька мова і друга західноєвропейська мова, зарубіжна література, методика навчання іноземних мов",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
